                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.89078,                0.99078,                0.38513,                0.98441,                0.96544,                      1,                 0.9947,                0.76048,                0.96544,                      1,                 0.9947,                0.76118,                0.92654,                 1.0425,                0.35741,                 1.1008,               0.000416,               0.000416,               0.000416
                     82,                0.88292,                 1.0219,                0.37725,                 0.9805,                 0.9682,                      1,                0.99428,                0.74118,                 0.9682,                      1,                0.99428,                0.75198,                0.94989,                 1.0746,                0.36545,                 1.1238,              0.0003962,              0.0003962,              0.0003962
                     83,                0.87488,                0.95033,                0.37681,                0.97077,                0.96965,                0.99834,                0.99439,                0.74629,                0.96965,                0.99834,                0.99439,                0.76454,                0.95813,                  1.061,                0.36671,                 1.1268,              0.0003764,              0.0003764,              0.0003764
                     84,                0.88229,                 1.0173,                0.38194,                0.98149,                0.95966,                0.98958,                0.99057,                0.74631,                0.95966,                0.98958,                0.99057,                0.75908,                0.93646,                 1.0933,                0.37076,                 1.1108,              0.0003566,              0.0003566,              0.0003566
                     85,                0.87694,                0.97597,                0.37559,                0.98263,                0.96963,                0.99766,                0.99459,                0.76908,                0.96963,                0.99766,                0.99459,                0.75949,                0.91706,                 1.0545,                0.35676,                 1.1026,              0.0003368,              0.0003368,              0.0003368
                     86,                0.87596,                0.97466,                0.37163,                0.97018,                 0.9696,                0.99684,                 0.9947,                 0.7609,                 0.9696,                0.99684,                 0.9947,                0.76901,                0.91911,                 1.0547,                0.35414,                 1.0975,               0.000317,               0.000317,               0.000317
                     87,                0.84884,                0.95195,                0.35574,                0.96821,                0.95622,                0.98958,                0.99096,                 0.7541,                0.95622,                0.98958,                0.99096,                0.77139,                0.95235,                 1.0824,                0.36307,                 1.1327,              0.0002972,              0.0002972,              0.0002972
                     88,                0.87194,                0.98376,                0.37228,                0.96431,                0.96959,                 0.9963,                 0.9947,                0.75985,                0.96959,                 0.9963,                 0.9947,                0.76739,                 0.9195,                 1.0434,                0.35966,                 1.0963,              0.0002774,              0.0002774,              0.0002774
                     89,                0.86543,                0.96803,                0.36571,                0.98056,                0.95978,                0.99438,                 0.9946,                0.72554,                0.95978,                0.99438,                 0.9946,                 0.7452,                0.95316,                 1.1279,                0.36811,                 1.1186,              0.0002576,              0.0002576,              0.0002576
                     90,                0.85267,                 1.0072,                0.35831,                0.97338,                0.96968,                0.99936,                 0.9947,                0.74023,                0.96968,                0.99936,                 0.9947,                0.75401,                0.92676,                 1.0468,                0.35593,                 1.0969,              0.0002378,              0.0002378,              0.0002378
                     91,                0.83092,                0.93035,                0.34921,                0.96244,                0.95903,                      1,                0.99459,                0.75747,                0.95903,                      1,                0.99459,                0.76671,                0.93289,                 1.0508,                0.35448,                 1.1081,               0.000218,               0.000218,               0.000218
                     92,                0.83158,                 0.9493,                0.35754,                0.97173,                0.94946,                0.98958,                0.99241,                0.75665,                0.95911,                      1,                 0.9948,                0.76386,                0.94204,                 1.0611,                0.35611,                 1.1123,              0.0001982,              0.0001982,              0.0001982
                     93,                0.86317,                0.93202,                0.36433,                0.97676,                0.96217,                      1,                  0.995,                0.75272,                0.96217,                      1,                  0.995,                0.76494,                0.95705,                 1.0968,                0.35254,                 1.1274,              0.0001784,              0.0001784,              0.0001784
                     94,                0.83023,                0.97768,                0.35238,                0.97605,                0.96591,                0.98958,                 0.9946,                0.76735,                0.96591,                0.98958,                 0.9946,                0.76569,                0.92767,                 1.0626,                 0.3464,                 1.1049,              0.0001586,              0.0001586,              0.0001586
                     95,                0.82863,                0.97455,                0.34584,                0.97378,                0.96494,                      1,                 0.9947,                0.75702,                0.96494,                      1,                 0.9947,                0.76375,                0.93963,                 1.0845,                0.35544,                 1.1217,              0.0001388,              0.0001388,              0.0001388
                     96,                0.84395,                0.95597,                0.35768,                0.95575,                0.95976,                0.99371,                 0.9946,                 0.7625,                0.95751,                0.98958,                0.99196,                 0.7639,                0.94138,                 1.0823,                0.36214,                 1.1182,               0.000119,               0.000119,               0.000119
                     97,                0.81991,                0.91319,                0.35239,                 0.9514,                0.95929,                      1,                 0.9946,                0.76404,                0.95929,                      1,                 0.9946,                0.76571,                 0.9267,                 1.0777,                0.34869,                 1.1062,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.82383,                0.94072,                0.35031,                0.95303,                0.95991,                      1,                 0.9946,                0.76809,                0.95991,                      1,                 0.9946,                0.76632,                0.92921,                 1.0778,                0.34588,                 1.1082,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.82256,                0.93585,                0.34139,                0.96585,                0.95944,                      1,                0.99439,                0.76309,                0.95944,                      1,                0.99439,                0.76581,                0.93456,                 1.0943,                0.35375,                  1.117,               5.96e-05,               5.96e-05,               5.96e-05
